Z,El,role,period,chi_spec,E_port,D_index,A_index,N_min,N_max,N_best,A_best,N_over_Z,F_min,band_width,allowed_N,living_hub
1,H,terminator,1,2.26371,1.83,0.0,1.237,1,2,2,3,2.0,-7.120390885284768,1,2,False
2,He,inert,1,0.0,0.0,-0.0,0.0,2,3,2,4,1.0,-26.575605980910233,2,2;3,False
3,Li,terminator,2,-0.26579811495001215,1.3751883069361985,0.19328125000000002,0.0,3,5,4,7,1.3333333333333333,-41.912667150809014,2,4;5,False
4,Be,bridge,2,-0.36017032066387267,1.1522420151191672,0.3125821797312461,0.0,4,7,7,11,1.75,-69.0067900585032,2,6;7,False
5,B,hub,2,0.14116037852188465,1.141150998560102,0.0,0.12370000000000002,5,9,9,14,1.8,-86.32620846414397,2,8;9,False
6,C,hub,2,1.7055745257082264,1.3787991315345403,0.0,1.237,6,10,10,16,1.6666666666666667,-116.71408279426504,1,10,True
7,N,hub,2,1.9341880755536673,1.5636120255082193,0.0,1.237,7,12,12,19,1.7142857142857142,-136.15577583180053,3,10;11;12,True
8,O,bridge,2,2.397941581152393,1.938513808530633,0.0,1.237,8,14,14,22,1.75,-155.9742512273564,3,12;13;14,False
9,F,terminator,2,5.523390257293875,4.465149763374192,0.0,1.237,9,16,16,25,1.7777777777777777,-187.92591909549665,1,16,False
10,Ne,inert,2,0.0,0.0,-0.0,0.0,10,18,18,28,1.8,-219.40182086299978,1,18,False
11,Na,terminator,3,-0.20011885771267016,1.0353764667429983,0.19328125000000002,0.0,11,19,19,30,1.7272727272727273,-233.82174811686883,2,18;19,False
12,Mg,bridge,3,-0.2711714985895051,0.8675206591196423,0.31258217973124613,0.0,12,21,21,33,1.75,-256.3736544847914,2,20;21,False
13,Al,hub,3,0.10627936059441344,0.8591702554115879,0.0,0.12370000000000002,13,23,23,36,1.7692307692307692,-269.3290933428309,2,22;23,False
14,Si,hub,3,1.2841235758679101,1.0380950492060712,0.0,1.237,14,25,25,39,1.7857142857142858,-288.3610366808112,1,25,True
15,P,hub,3,1.4562462504824847,1.177240299500796,0.0,1.237,15,27,27,42,1.8,-325.6028414794568,2,26;27,True
16,S,bridge,3,1.8054053173860145,1.4595030860032452,0.0,1.237,16,28,28,44,1.75,-358.42944551585293,1,28,False
17,Cl,terminator,3,4.158549240271395,3.3618021344150315,0.0,1.237,17,30,30,47,1.7647058823529411,-386.6741263700389,1,30,False
18,Ar,inert,3,0.0,0.0,-0.0,0.0,18,32,32,50,1.7777777777777777,-412.9501595939521,2,31;32,False
19,K,terminator,4,-0.16361793214915865,0.8465277006908775,0.19328125,0.0,19,34,34,53,1.7894736842105263,-430.3504536284027,3,32;33;34,False
20,Ca,bridge,4,-0.221710839068987,0.7092881598676257,0.3125821797312461,0.0,20,36,34,54,1.7,-447.9145693737404,5,32;33;34;35;36,False
21,Sc,inert,4,0.0,1.0859000695890009,-0.0,0.0,21,37,34,55,1.619047619047619,-459.3342627471797,5,32;33;34;35;36,False
22,Ti,inert,4,0.0,1.0859000695890009,-0.0,0.0,22,39,34,56,1.5454545454545454,-471.1652809344862,5,33;34;35;36;37,False
23,V,hub,4,-0.49759314783809855,1.0859000695890009,0.45823106727162394,0.0,23,41,41,64,1.7826086956521738,-498.9672499999999,1,41,False
24,Cr,hub,4,-0.48466637208665214,1.0859000695890009,0.4463268634563143,0.0,24,43,43,67,1.7916666666666667,-535.2004686327801,1,43,False
25,Mn,inert,4,0.0,1.0859000695890009,-0.0,0.0,25,45,45,70,1.8,-576.3229653119715,1,45,False
26,Fe,hub,4,-0.42247320666974564,1.0859000695890009,0.38905348521586,0.0,26,46,46,72,1.7692307692307692,-607.4449252316928,1,46,False
27,Co,hub,4,-0.40710826976943854,1.0859000695890009,0.3749039908649456,0.0,27,48,48,75,1.7777777777777777,-639.4360131633047,1,48,False
28,Ni,hub,4,-0.3984143068089642,1.0859000695890009,0.3668977634007878,0.0,28,50,50,78,1.7857142857142858,-668.6819380715857,1,50,False
29,Cu,hub,4,-0.4012707401883,1.0859000695890009,0.36952823876342117,0.0,29,52,52,81,1.793103448275862,-689.69080954077,1,52,False
30,Zn,hub,4,-0.4889000188831961,1.0859000695890009,0.4502256078390698,0.0,30,54,54,84,1.8,-707.846800855603,2,53;54,False
31,Ga,hub,4,0.086894405701436,0.7024608383301212,0.0,0.12370000000000002,31,55,55,86,1.7741935483870968,-716.0365139773623,3,53;54;55,False
32,Ge,hub,4,1.0499042744345441,0.8487504239567859,0.0,1.2369999999999999,32,57,56,88,1.75,-726.5092338557777,4,54;55;56;57,True
33,As,hub,4,1.1906324217881263,0.9625161049216866,0.0,1.237,33,59,56,89,1.696969696969697,-730.1017109518591,6,54;55;56;57;58;59,True
34,Se,bridge,4,1.4761061905816222,1.1932952227822329,0.0,1.237,34,61,56,90,1.6470588235294117,-733.763357964334,7,54;55;56;57;58;59;60,False
35,Br,terminator,4,3.400045528995548,2.748622092963256,0.0,1.237,35,63,58,93,1.6571428571428573,-733.0486348918912,6,55;56;57;58;59;60,False
36,Kr,inert,4,0.0,0.0,-0.0,0.0,36,64,58,94,1.6111111111111112,-732.5142876507147,6,55;56;57;58;59;60,False
37,Rb,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125000000002,0.0,37,66,58,95,1.5675675675675675,-727.0857569621074,5,56;57;58;59;60,False
38,Sr,bridge,5,-0.18964872026051116,0.6067163535156372,0.3125821797312461,0.0,38,68,68,106,1.7894736842105263,-727.6616037627199,1,68,False
